condition,seed,generation,cumulative_evals,pop_mean_fitness,pop_std_fitness,best_so_far
dynamic_constant,2,45,4600,15.100123586202479,0.9247877955973136,12.799999999999999
dynamic_constant,2,46,4700,15.1116881107639,0.9000272761758413,12.799999999999999
dynamic_constant,2,47,4800,15.133081755938782,0.8978625563867291,12.799999999999999
dynamic_constant,2,48,4900,15.197995513521557,1.0600885338806105,12.799999999999999
dynamic_constant,2,49,5000,15.323292771170527,1.2405145558383492,12.799999999999999
dynamic_constant,2,50,5100,15.019888072718087,0.9991937156728044,12.799999999999999
dynamic_constant,3,0,100,20.787144770048453,0.9792709373670397,18.2
dynamic_constant,3,1,200,20.499217952492558,3.315211927517018,15.942276586281547
dynamic_constant,3,2,300,18.00849987934035,1.8702083755124783,15.606750598570128
dynamic_constant,3,3,400,16.81057680780333,1.0193087600287405,15.018695387886217
dynamic_constant,3,4,500,16.524577154611805,0.699086575274184,14.96693988153255
dynamic_constant,3,5,600,16.68390732610318,0.961513665758589,14.9649655434629
dynamic_constant,3,6,700,16.334813981178808,0.7614785580249677,14.9649655434629
dynamic_constant,3,7,800,16.224775304801987,0.7954525522681039,14.87571129984594
dynamic_constant,3,8,900,16.22051345809426,0.803083133032441,14.555430508634199
dynamic_constant,3,9,1000,16.129926484907553,0.8330566864550367,14.13469899493758
dynamic_constant,3,10,1100,16.26481073459994,1.1434299837646877,14.13469899493758
dynamic_constant,3,11,1200,15.997708286317247,0.9084613122978106,14.13469899493758
dynamic_constant,3,12,1300,15.991540303565632,1.0136705297762099,14.13469899493758
dynamic_constant,3,13,1400,15.975412004984781,1.1753151365516359,14.093468988235944
dynamic_constant,3,14,1500,16.145612796834016,1.157477606742166,14.093468988235944
dynamic_constant,3,15,1600,16.206132627107873,1.1414785794135942,14.093468988235944
dynamic_constant,3,16,1700,15.900951569774673,1.0523056486919031,14.093468988235944
dynamic_constant,3,17,1800,15.871980988839333,1.0159156964550728,14.093468988235944
dynamic_constant,3,18,1900,15.789567205083472,1.014133879011143,13.87581763205193
dynamic_constant,3,19,2000,15.764912260853515,1.0425285319526423,13.845906043549196
dynamic_constant,3,20,2100,15.553786093914061,0.903462264998927,13.720743687382042
