schedule_index,offspring_generation,exponential_probability,constant_probability
71,72,0.0991398938499964,0.18179290817012236
72,73,0.0962666886928495,0.18179290817012236
73,74,0.09347675281867712,0.18179290817012236
74,75,0.09076767297360144,0.18179290817012236
75,76,0.0881371058430317,0.18179290817012236
76,77,0.08558277602473113,0.18179290817012236
77,78,0.08310247406062718,0.18179290817012236
78,79,0.08069405452566247,0.18179290817012236
79,80,0.07835543417203344,0.18179290817012236
80,81,0.07608459012721125,0.18179290817012236
81,82,0.0738795581441866,0.18179290817012236
82,83,0.07173843090242471,0.18179290817012236
83,84,0.06965935635806077,0.18179290817012236
84,85,0.06764053614190901,0.18179290817012236
85,86,0.0656802240038996,0.18179290817012236
86,87,0.06377672430259772,0.18179290817012236
87,88,0.06192839053849852,0.18179290817012236
88,89,0.060133623929828954,0.18179290817012236
89,90,0.058390872029624834,0.18179290817012236
90,91,0.056698627382886925,0.18179290817012236
91,92,0.05505542622265424,0.18179290817012236
92,93,0.053459847203866984,0.18179290817012236
93,94,0.05191051017392382,0.18179290817012236
94,95,0.05040607497886991,0.18179290817012236
95,96,0.04894524030418334,0.18179290817012236
96,97,0.04752674254915697,0.18179290817012236
97,98,0.04614935473390226,0.18179290817012236
98,99,0.04481188543802955,0.18179290817012236
99,100,0.043513177770086786,0.18179290817012236
100,101,0.04225210836686524,0.18179290817012236
101,102,0.04102758642170674,0.18179290817012236
102,103,0.039838552740971755,0.18179290817012236
103,104,0.0386839788278524,0.18179290817012236
104,105,0.03756286599273764,0.18179290817012236
105,106,0.03647424448936133,0.18179290817012236
106,107,0.03541717267598584,0.18179290817012236
107,108,0.03439073620089567,0.18179290817012236
108,109,0.03339404721149653,0.18179290817012236
109,110,0.03242624358633577,0.18179290817012236
110,111,0.031486488189379956,0.18179290817012236
111,112,0.030573968145904303,0.18179290817012236
112,113,0.029687894139367933,0.18179290817012236
113,114,0.028827499728666578,0.18179290817012236
114,115,0.02799204068517218,0.18179290817012236
115,116,0.02718079434898594,0.18179290817012236
116,117,0.02639305900384811,0.18179290817012236
117,118,0.025628153270163573,0.18179290817012236
118,119,0.02488541551561849,0.18179290817012236
119,120,0.02416420328287793,0.18179290817012236
120,121,0.023463892733869687,0.18179290817012236
121,122,0.022783878110173385,0.18179290817012236
122,123,0.02212357120904835,0.18179290817012236
123,124,0.021482400874646725,0.18179290817012236
124,125,0.020859812503972033,0.18179290817012236
125,126,0.020255267567155646,0.18179290817012236
126,127,0.019668243141636316,0.18179290817012236
127,128,0.019098231459839764,0.18179290817012236
128,129,0.01854473946996713,0.18179290817012236
129,130,0.01800728840951235,0.18179290817012236
130,131,0.017485413391139574,0.18179290817012236
131,132,0.01697866300056238,0.18179290817012236
132,133,0.016486598906076996,0.18179290817012236
133,134,0.016008795479411798,0.18179290817012236
134,135,0.015544839427564995,0.18179290817012236
135,136,0.015094329435312252,0.18179290817012236
136,137,0.014656875818074847,0.18179290817012236
137,138,0.01423210018484821,0.18179290817012236
138,139,0.01381963511089919,0.18179290817012236
139,140,0.01341912381994903,0.18179290817012236
140,141,0.013030219875567095,0.18179290817012236
141,142,0.012652586881508386,0.18179290817012236
142,143,0.012285898190735693,0.18179290817012236
143,144,0.011929836622874689,0.18179290817012236
144,145,0.0115840941898575,0.18179290817012236
145,146,0.01124837182951754,0.18179290817012236
146,147,0.010922379146905074,0.18179290817012236
147,148,0.010605834163099827,0.18179290817012236
148,149,0.010298463071303323,0.18179290817012236
149,150,0.01,0.18179290817012236
