condition,generation,cumulative_evals,mean_best_so_far,std_best_so_far,mean_pop_mean_fitness
mutation_only,43,4400,13.266871496922885,0.2648533850304803,14.94289395181291
mutation_only,44,4500,13.266871496922885,0.2648533850304803,14.904940685028924
mutation_only,45,4600,13.266871496922885,0.2648533850304803,14.91142488602813
mutation_only,46,4700,13.229118082327801,0.31599065787765585,14.861603408608735
mutation_only,47,4800,13.169668715330724,0.3705479634705961,14.769068992370787
mutation_only,48,4900,13.169668715330724,0.3705479634705961,14.742880361625268
mutation_only,49,5000,13.169668715330724,0.3705479634705961,14.761968485303992
mutation_only,50,5100,13.14678455045314,0.3732206151949836,14.799288797372366
mutation_crossover,0,100,18.419672130848515,0.34826595956510076,20.743398515503145
mutation_crossover,1,200,15.570849925144898,0.5301141997756892,19.970441201970175
mutation_crossover,2,300,15.063303392086635,0.2765528073657919,18.40013069686328
mutation_crossover,3,400,14.680070416937085,0.28207118072483456,17.06843879275876
mutation_crossover,4,500,14.604021638262816,0.20452972807289,16.703349227218915
mutation_crossover,5,600,14.59592647053106,0.21469240887480665,16.41967656930184
mutation_crossover,6,700,14.482183382571497,0.20544292278717785,16.266446043839256
mutation_crossover,7,800,14.325997475164002,0.06266930627189989,16.200726667622597
mutation_crossover,8,900,14.286185572889503,0.0896147813539533,16.12594647053692
mutation_crossover,9,1000,14.286185572889503,0.0896147813539533,16.086794696455296
mutation_crossover,10,1100,14.240676409152277,0.14564466773730173,16.04531571275786
mutation_crossover,11,1200,14.20582283691246,0.11377409100133035,15.962142048190197
mutation_crossover,12,1300,14.16723048321685,0.12334860046371017,16.01806685910027
mutation_crossover,13,1400,14.057133926035728,0.17237839370577177,15.980701038652091
mutation_crossover,14,1500,13.8832169623543,0.3955009510761732,15.963295784164137
mutation_crossover,15,1600,13.84120454955127,0.42838929645631657,15.88910419148622
mutation_crossover,16,1700,13.80431074782652,0.4154582419525213,15.812370619324856
mutation_crossover,17,1800,13.762171337825341,0.4164899814909931,15.787115871474658
mutation_crossover,18,1900,13.608629772784715,0.5447679364622748,15.778017026811899
mutation_crossover,19,2000,13.596971525466381,0.5299133562433641,15.775994290673859
mutation_crossover,20,2100,13.558057558473331,0.49281715057425407,15.811768060780025
mutation_crossover,21,2200,13.558057558473331,0.49281715057425407,15.757989676076587
mutation_crossover,22,2300,13.558057558473331,0.49281715057425407,15.785404453313785
mutation_crossover,23,2400,13.5500031976858,0.49509128811241204,15.743077071975563
mutation_crossover,24,2500,13.549699708438984,0.4948355426423075,15.797721658351179
mutation_crossover,25,2600,13.519390196634816,0.4725353134907708,15.76766636089227
mutation_crossover,26,2700,13.483515634533319,0.45525096614762256,15.785002001295481
mutation_crossover,27,2800,13.483515634533319,0.45525096614762256,15.74577980413154
mutation_crossover,28,2900,13.424575791355883,0.37951853539464575,15.713684102932842
mutation_crossover,29,3000,13.424575791355883,0.37951853539464575,15.6893058159928
mutation_crossover,30,3100,13.380344053329518,0.3107765406908615,15.627362659822571
mutation_crossover,31,3200,13.380344053329518,0.3107765406908615,15.640919861966205
mutation_crossover,32,3300,13.329415743254359,0.2476509814506659,15.623756462437644
mutation_crossover,33,3400,13.284071870095001,0.2523084110070133,15.640726577926127
mutation_crossover,34,3500,13.284071870095001,0.2523084110070133,15.611850280313622
mutation_crossover,35,3600,13.284071870095001,0.2523084110070133,15.58030939982053
mutation_crossover,36,3700,13.284071870095001,0.2523084110070133,15.649024145905793
mutation_crossover,37,3800,13.284071870095001,0.2523084110070133,15.681420562732324
mutation_crossover,38,3900,13.284071870095001,0.2523084110070133,15.687926960708626
mutation_crossover,39,4000,13.284071870095001,0.2523084110070133,15.67354331361166
mutation_crossover,40,4100,13.284071870095001,0.2523084110070133,15.697144017790809
mutation_crossover,41,4200,13.284071870095001,0.2523084110070133,15.796298176771225
mutation_crossover,42,4300,13.284071870095001,0.2523084110070133,15.741150864323549
mutation_crossover,43,4400,13.284071870095001,0.2523084110070133,15.738259356330122
mutation_crossover,44,4500,13.284071870095001,0.2523084110070133,15.737947064650834
mutation_crossover,45,4600,13.284071870095001,0.2523084110070133,15.78732124476221
mutation_crossover,46,4700,13.284071870095001,0.2523084110070133,15.784628485669703
mutation_crossover,47,4800,13.284071870095001,0.2523084110070133,15.785770716996813
mutation_crossover,48,4900,13.284071870095001,0.2523084110070133,15.701667998939806
mutation_crossover,49,5000,13.284071870095001,0.2523084110070133,15.737348086131268
mutation_crossover,50,5100,13.284071870095001,0.2523084110070133,15.736524255559704
random_search,0,100,18.419672130848515,0.34826595956510076,20.743398515503145
random_search,1,200,17.801231775827436,0.2508491169179269,20.872367951881795
random_search,2,300,17.801231775827436,0.2508491169179269,20.789717015513173
random_search,3,400,17.79765999550458,0.2485918706064804,20.856936751036535
random_search,4,500,17.79765999550458,0.2485918706064804,20.797904832566076
random_search,5,600,17.79765999550458,0.2485918706064804,20.830840903892636
random_search,6,700,17.69661034046327,0.24292024979740623,20.801158823934525
random_search,7,800,17.63513751791213,0.2077928339723079,20.911337198136867
random_search,8,900,17.62351199162125,0.19496316187503857,20.776876974226635
random_search,9,1000,17.62351199162125,0.19496316187503857,20.85655378641408
random_search,10,1100,17.62351199162125,0.19496316187503857,20.767388295829697
random_search,11,1200,17.62351199162125,0.19496316187503857,20.807352574914336
random_search,12,1300,17.56800234327048,0.1680616525573803,20.768044482933558
random_search,13,1400,17.566778254917654,0.16754725113816568,20.767771768436553
random_search,14,1500,17.566778254917654,0.16754725113816568,20.83726115665836
random_search,15,1600,17.566778254917654,0.16754725113816568,20.836386813937903
