condition,seed,generation,cumulative_evals,pop_mean_fitness,pop_std_fitness,best_so_far
mutation_only,1,29,3000,15.1666362911035,0.7370689946933091,13.172004514666936
mutation_only,1,30,3100,15.184260057405792,0.7018244038653432,13.172004514666936
mutation_only,1,31,3200,15.118658516900615,0.7666653766453811,13.172004514666936
mutation_only,1,32,3300,14.98746670631269,0.7295407503163721,13.172004514666936
mutation_only,1,33,3400,14.97561252027024,0.683524294678097,13.172004514666936
mutation_only,1,34,3500,14.920443342193707,0.7070866625194945,13.172004514666936
mutation_only,1,35,3600,14.828615568409754,0.662330058835909,13.172004514666936
mutation_only,1,36,3700,15.01142531466496,0.7142356176231888,13.172004514666936
mutation_only,1,37,3800,14.967456879258576,0.687224312519353,13.172004514666936
mutation_only,1,38,3900,14.970152012481519,0.7152199311131485,13.172004514666936
mutation_only,1,39,4000,15.050251126675425,0.7720415550532683,13.172004514666936
mutation_only,1,40,4100,15.12241681039333,0.8608540564881347,13.172004514666936
mutation_only,1,41,4200,14.867604177221947,0.7494454020274125,13.172004514666936
mutation_only,1,42,4300,14.899435830457842,0.6956519042361242,13.172004514666936
mutation_only,1,43,4400,15.088921107237695,0.7094885436768973,13.172004514666936
mutation_only,1,44,4500,14.952673429926078,0.6756979592637306,13.172004514666936
mutation_only,1,45,4600,14.950162020547113,0.7634975506212127,13.172004514666936
mutation_only,1,46,4700,14.965905411948745,0.7123047127628853,13.172004514666936
mutation_only,1,47,4800,14.779022077350596,0.7035004240907821,13.172004514666936
mutation_only,1,48,4900,14.709613099016456,0.7103553691645262,13.172004514666936
mutation_only,1,49,5000,14.72959983669414,0.7667885579527903,13.172004514666936
mutation_only,1,50,5100,14.710628638945465,0.6924092536632911,13.057583690279023
mutation_only,2,0,100,20.629203275222288,0.8444515027963536,18.83390796058137
mutation_only,2,1,200,19.40332381987166,1.1516519848621412,15.593473631142341
mutation_only,2,2,300,18.166961902133174,1.2549961309981128,15.593473631142341
mutation_only,2,3,400,16.981603602256314,0.9701894692183897,15.354515615568197
mutation_only,2,4,500,16.40694367274672,0.5713589946241268,15.34741302385683
mutation_only,2,5,600,16.218620420485262,0.4753448070073632,15.182085548648711
mutation_only,2,6,700,16.112483996191408,0.460114989098465,15.055592347112503
mutation_only,2,7,800,15.990849519112633,0.5400153940834171,14.670459909270544
mutation_only,2,8,900,15.855050702061153,0.5046287201457175,14.670459909270544
mutation_only,2,9,1000,15.757892415268728,0.5406208218945647,14.449637662132067
mutation_only,2,10,1100,15.628888075587568,0.487851957129136,14.420526275297414
mutation_only,2,11,1200,15.539231921374315,0.584314318047189,14.237663853655729
mutation_only,2,12,1300,15.43875541349116,0.49065834386104107,14.237663853655729
mutation_only,2,13,1400,15.43768313170711,0.4592336736806401,14.237663853655729
mutation_only,2,14,1500,15.437555739985203,0.5093325851720345,14.237663853655729
mutation_only,2,15,1600,15.353449741322086,0.5022086921898011,14.237663853655729
mutation_only,2,16,1700,15.41646018842465,0.4890808238543847,14.237663853655729
mutation_only,2,17,1800,15.455714951088169,0.508059673698571,14.237663853655729
mutation_only,2,18,1900,15.579934842199805,0.584259613993035,14.237663853655729
mutation_only,2,19,2000,15.510907180083773,0.596054072228859,14.182085548648711
mutation_only,2,20,2100,15.538902692100304,0.6474986652766094,14.090724809414743
mutation_only,2,21,2200,15.423005841737027,0.5483319478551133,14.090724809414743
mutation_only,2,22,2300,15.37700317912281,0.5713026925907247,14.090724809414743
mutation_only,2,23,2400,15.42035214831018,0.5348449176829246,14.090724809414743
mutation_only,2,24,2500,15.385893264032365,0.5396793426404232,14.090724809414743
mutation_only,2,25,2600,15.368985345077306,0.48682019701548224,14.090724809414743
mutation_only,2,26,2700,15.413954490838046,0.47467760382892144,14.090724809414743
mutation_only,2,27,2800,15.467435807538301,0.467392408470967,14.090724809414743
mutation_only,2,28,2900,15.43863196998079,0.48639030374315456,14.090724809414743
mutation_only,2,29,3000,15.494007044242524,0.556110922234151,14.090724809414743
mutation_only,2,30,3100,15.462486007018702,0.5873043139216014,14.090724809414743
mutation_only,2,31,3200,15.31495152658789,0.5420950041952651,14.034387974463899
mutation_only,2,32,3300,15.372676855019725,0.5658948749278302,14.034387974463899
mutation_only,2,33,3400,15.428640308971188,0.5687203672913514,14.034387974463899
mutation_only,2,34,3500,15.389308257234623,0.5323444904608566,14.034387974463899
mutation_only,2,35,3600,15.359369223493479,0.6055215223802454,13.644994432064365
mutation_only,2,36,3700,15.360867505887109,0.5653115285154934,13.644994432064365
mutation_only,2,37,3800,15.33069812552555,0.6586210033388572,13.644994432064365
mutation_only,2,38,3900,15.342842291683844,0.6452285270238227,13.644994432064365
mutation_only,2,39,4000,15.165100672455742,0.6039273563726845,13.644994432064365
mutation_only,2,40,4100,15.16732008395192,0.5616725129052098,13.644994432064365
mutation_only,2,41,4200,15.239482644928044,0.581520444166382,13.644994432064365
mutation_only,2,42,4300,15.151256567633212,0.5888341947849005,13.644994432064365
mutation_only,2,43,4400,15.154764874893845,0.6474432203316316,13.644994432064365
mutation_only,2,44,4500,15.166078072813825,0.5644247274911758,13.644994432064365
mutation_only,2,45,4600,15.135950415013188,0.6624904903415532,13.644994432064365
mutation_only,2,46,4700,15.089999719346768,0.5875647035484088,13.644994432064365
mutation_only,2,47,4800,14.955556656866882,0.6360747514883632,13.644994432064365
mutation_only,2,48,4900,14.959010272797183,0.6210383231373301,13.644994432064365
