condition,seed,target,distance
dynamic_exponential,38,target_03,11.5
dynamic_exponential,38,target_04,13.0
dynamic_exponential,39,target_00,12.0
dynamic_exponential,39,target_01,11.5
dynamic_exponential,39,target_02,11.5
dynamic_exponential,39,target_03,12.0
dynamic_exponential,39,target_04,12.5
dynamic_exponential,40,target_00,12.0
dynamic_exponential,40,target_01,12.0
dynamic_exponential,40,target_02,12.0
dynamic_exponential,40,target_03,13.0
dynamic_exponential,40,target_04,12.5
dynamic_exponential,41,target_00,10.5
dynamic_exponential,41,target_01,9.5
dynamic_exponential,41,target_02,12.0
dynamic_exponential,41,target_03,12.0
dynamic_exponential,41,target_04,13.0
dynamic_exponential,42,target_00,10.5
dynamic_exponential,42,target_01,10.0
dynamic_exponential,42,target_02,11.0
dynamic_exponential,42,target_03,12.0
dynamic_exponential,42,target_04,13.0
dynamic_exponential,43,target_00,10.5
dynamic_exponential,43,target_01,12.0
dynamic_exponential,43,target_02,11.0
dynamic_exponential,43,target_03,11.5
dynamic_exponential,43,target_04,13.0
dynamic_exponential,44,target_00,10.5
dynamic_exponential,44,target_01,11.0
dynamic_exponential,44,target_02,11.5
dynamic_exponential,44,target_03,12.0
dynamic_exponential,44,target_04,13.0
dynamic_exponential,45,target_00,11.5
dynamic_exponential,45,target_01,11.0
dynamic_exponential,45,target_02,12.5
dynamic_exponential,45,target_03,11.5
dynamic_exponential,45,target_04,13.0
dynamic_exponential,46,target_00,11.0
dynamic_exponential,46,target_01,11.5
dynamic_exponential,46,target_02,12.5
dynamic_exponential,46,target_03,11.5
dynamic_exponential,46,target_04,13.0
dynamic_exponential,47,target_00,12.0
dynamic_exponential,47,target_01,13.0
dynamic_exponential,47,target_02,12.0
dynamic_exponential,47,target_03,12.0
dynamic_exponential,47,target_04,12.5
dynamic_exponential,48,target_00,11.5
dynamic_exponential,48,target_01,11.0
dynamic_exponential,48,target_02,11.5
dynamic_exponential,48,target_03,12.0
dynamic_exponential,48,target_04,12.5
dynamic_exponential,49,target_00,10.5
dynamic_exponential,49,target_01,11.0
dynamic_exponential,49,target_02,11.0
dynamic_exponential,49,target_03,12.0
dynamic_exponential,49,target_04,13.0
random_search,30,target_00,16.5
random_search,30,target_01,15.0
random_search,30,target_02,15.5
random_search,30,target_03,16.5
random_search,30,target_04,17.0
random_search,31,target_00,16.0
random_search,31,target_01,17.0
random_search,31,target_02,16.5
random_search,31,target_03,15.5
random_search,31,target_04,16.5
random_search,32,target_00,16.5
random_search,32,target_01,16.5
random_search,32,target_02,17.0
random_search,32,target_03,16.5
random_search,32,target_04,17.0
random_search,33,target_00,15.5
random_search,33,target_01,14.5
random_search,33,target_02,16.0
random_search,33,target_03,16.0
random_search,33,target_04,17.0
random_search,34,target_00,15.0
random_search,34,target_01,13.0
random_search,34,target_02,16.0
random_search,34,target_03,15.0
random_search,34,target_04,17.5
random_search,35,target_00,16.5
random_search,35,target_01,16.0
random_search,35,target_02,16.5
random_search,35,target_03,16.5
random_search,35,target_04,16.0
random_search,36,target_00,17.5
random_search,36,target_01,15.0
random_search,36,target_02,16.0
random_search,36,target_03,16.0
random_search,36,target_04,16.5
random_search,37,target_00,16.0
random_search,37,target_01,14.0
random_search,37,target_02,15.5
random_search,37,target_03,17.5
random_search,37,target_04,15.0
random_search,38,target_00,18.0
random_search,38,target_01,16.0
random_search,38,target_02,15.0
random_search,38,target_03,15.5
random_search,38,target_04,15.0
random_search,39,target_00,15.5
random_search,39,target_01,16.0
random_search,39,target_02,15.5
random_search,39,target_03,16.5
random_search,39,target_04,17.0
random_search,40,target_00,15.0
random_search,40,target_01,16.0
random_search,40,target_02,15.5
